t,expiry,raw,alpha,spot,fund,tt,spot_at_expiry,real_pct
2026-04-16 06:00:00+00:00,2026-04-17 12:00:00+00:00,0.03500762914668524,0.02100884461376683,75024.54524969,-0.04087359,30.0,75558.91890017,0.7122650976444428
2026-04-16 07:00:00+00:00,2026-04-17 12:00:00+00:00,-0.32585096646829054,-0.3401298246129968,74960.59243813,-0.04312892,29.0,75558.91890017,0.7981880112991896
2026-04-16 08:00:00+00:00,2026-04-17 12:00:00+00:00,0.04625965106563382,0.030741109164948856,74652.63687572,-0.0485471,28.0,75558.91890017,1.2139986775802187
2026-04-16 09:00:00+00:00,2026-04-17 12:00:00+00:00,-0.008719474447739425,-0.020872576918488196,74609.8897243,-0.03942767,27.0,75558.91890017,1.2719884446644758
2026-04-16 10:00:00+00:00,2026-04-17 12:00:00+00:00,-0.3640291630867228,-0.3821851181584015,74595.16740292,-0.06116605,26.0,75558.91890017,1.2919757818148967
2026-04-16 11:00:00+00:00,2026-04-17 12:00:00+00:00,0.40422621984650237,0.38786469028419507,74284.85134488,-0.05732611,24.999999999999996,75558.91890017,1.7151108634180776
2026-04-16 12:00:00+00:00,2026-04-17 12:00:00+00:00,0.02835489836907446,0.017747927650520173,74608.19441013,-0.03871339,24.0,75558.91890017,1.2742896374274284
2026-04-16 13:00:00+00:00,2026-04-17 12:00:00+00:00,-1.0289910108162577,-1.0434853929996488,74564.22704231,-0.05520069,23.0,75558.91890017,1.3340067983211084
2026-04-16 14:00:00+00:00,2026-04-17 12:00:00+00:00,0.46782372861396354,0.460047777444102,73636.61919643,-0.03096122,22.0,75558.91890017,2.610521401875008
2026-04-16 15:00:00+00:00,2026-04-17 12:00:00+00:00,0.9860246024729095,0.979386433183584,73976.40887465,-0.02768973,21.0,75558.91890017,2.139209039197202
2026-04-16 16:00:00+00:00,2026-04-17 12:00:00+00:00,-0.7301411527166239,-0.7360832356440864,74722.1427131,-0.02602555,20.0,75558.91890017,1.119850363877888
2026-04-16 17:00:00+00:00,2026-04-17 12:00:00+00:00,0.277426030356522,0.2686344501982955,74139.35316945,-0.04053203,19.0,75558.91890017,1.9147263498178868
2026-04-16 18:00:00+00:00,2026-04-17 12:00:00+00:00,0.8562171632831607,0.8479500708929691,74402.46486385,-0.04023152,17.999999999999996,75558.91890017,1.554322210206633
2026-04-16 19:00:00+00:00,2026-04-17 12:00:00+00:00,0.5007555117002463,0.4940022393848354,74973.92719558,-0.03479804,17.0,75558.91890017,0.7802601870700463
2026-04-16 20:00:00+00:00,2026-04-17 12:00:00+00:00,-0.25771314369835285,-0.2642442154110455,75421.34807548,-0.03575645,16.0,75558.91890017,0.18240303070733405
2026-04-16 21:00:00+00:00,2026-04-17 12:00:00+00:00,-0.3899978118124714,-0.39745691019486773,75237.98144439,-0.04355951,15.0,75558.91890017,0.4265630863810661
2026-04-16 22:00:00+00:00,2026-04-17 12:00:00+00:00,-0.12623760942149947,-0.13274662421672279,74970.37337265,-0.04072651,14.0,75558.91890017,0.7850374768637616
2026-04-16 23:00:00+00:00,2026-04-17 12:00:00+00:00,0.4015188691691571,0.3949695722919767,74855.47158143,-0.04413074,13.0,75558.91890017,0.9397406814474063
2026-04-17 00:00:00+00:00,2026-04-17 12:00:00+00:00,-0.17028131522842327,-0.17526178993487637,75073.32310566,-0.03635656,12.0,75558.91890017,0.6468286928321465
2026-04-17 01:00:00+00:00,2026-04-17 12:00:00+00:00,-0.22234795856045436,-0.22668724882364844,74911.98946165,-0.03455578,11.0,75558.91890017,0.8635859802537883
2026-04-17 02:00:00+00:00,2026-04-17 12:00:00+00:00,0.020429446469518036,0.016696674748533653,74688.9889198,-0.03269847,10.0,75558.91890017,1.1647365869473967
2026-04-17 03:00:00+00:00,2026-04-17 12:00:00+00:00,-0.06740663615495977,-0.0711712282468158,74668.8135487,-0.03664134,8.999999999999998,75558.91890017,1.1920711059503641
2026-04-17 04:00:00+00:00,2026-04-17 12:00:00+00:00,0.25174115196593316,0.2467485177490653,74599.63204205,-0.05466798,8.0,75558.91890017,1.2859136591709663
2026-04-17 05:00:00+00:00,2026-04-17 12:00:00+00:00,-0.15957751882474622,-0.1630462220194044,74759.12141548,-0.04340759,7.0,75558.91890017,1.0698326432236445
2026-04-17 06:00:00+00:00,2026-04-17 12:00:00+00:00,0.46244880046816,0.45913424142827114,74590.89792336,-0.04839176,6.0,75558.91890017,1.2977735940444326
2026-04-17 07:00:00+00:00,2026-04-17 12:00:00+00:00,0.22960126967992456,0.2277600449670219,74903.04474568,-0.03225796,5.0,75558.91890017,0.875630832787774
2026-04-17 08:00:00+00:00,2026-04-17 12:00:00+00:00,1.0394513718713234,1.0374070573681982,75001.16560638,-0.04477003,4.0,75558.91890017,0.7436595008632112
2026-04-17 09:00:00+00:00,2026-04-17 12:00:00+00:00,0.16402107884965864,0.1624141762130875,75655.79743183,-0.04692118,3.0,75558.91890017,-0.1280516959024717
2026-04-17 10:00:00+00:00,2026-04-17 12:00:00+00:00,-0.5390933792406127,-0.5404589529480321,75679.78471368,-0.05981172,2.0,75558.91890017,-0.15970686751722457
2026-04-17 11:00:00+00:00,2026-04-17 12:00:00+00:00,0.35105055453642164,0.3503309232941077,75233.84356386,-0.06303947,1.0,75558.91890017,0.43208657289197694
2026-04-21 12:00:00+00:00,2026-04-24 12:00:00+00:00,-0.47993517348754716,-0.528038473662659,76408.64574797,-0.05851161,71.99999999999999,78192.98240212,2.3352549134760783
2026-04-21 13:00:00+00:00,2026-04-24 12:00:00+00:00,-0.11715740334314784,-0.1645456312142246,76024.40797883,-0.05845388,71.0,78192.98240212,2.852471306180867
2026-04-21 14:00:00+00:00,2026-04-24 12:00:00+00:00,-0.19895984305451225,-0.2349520241657007,75852.61226993,-0.04503354,70.0,78192.98240212,3.085417973294752
2026-04-21 15:00:00+00:00,2026-04-24 12:00:00+00:00,0.17170637145481704,0.13084689131085192,75737.92004813,-0.05186318,69.0,78192.98240212,3.2415233378865587
2026-04-21 16:00:00+00:00,2026-04-24 12:00:00+00:00,-0.08911011374449276,-0.1283089812514377,75873.68579604,-0.05048747,68.0,78192.98240212,3.0567865284871383
2026-04-21 17:00:00+00:00,2026-04-24 12:00:00+00:00,-0.16239106664184644,-0.19865967121999528,75697.62984322,-0.04741125,67.0,78192.98240212,3.296473831569386
2026-04-21 18:00:00+00:00,2026-04-24 12:00:00+00:00,0.11275822874064065,0.07963469753480965,75549.53167626,-0.04395668,66.0,78192.98240212,3.4989637489581686
2026-04-21 19:00:00+00:00,2026-04-24 12:00:00+00:00,-0.7299620436037387,-0.7665588710293276,75607.62816109,-0.04931224,65.0,78192.98240212,3.4194357155624964
2026-04-21 20:00:00+00:00,2026-04-24 12:00:00+00:00,0.915995901992134,0.8784033692767483,75037.99927272,-0.05144511,64.0,78192.98240212,4.204513926248824
2026-04-21 21:00:00+00:00,2026-04-24 12:00:00+00:00,-0.1906236843229458,-0.22887636420623214,75714.81412062,-0.05317927,63.0,78192.98240212,3.2730296049490146
2026-04-21 22:00:00+00:00,2026-04-24 12:00:00+00:00,0.23027756666404953,0.1941022208538442,75502.66288581,-0.05110302,62.0,78192.98240212,3.563211433189891
2026-04-21 23:00:00+00:00,2026-04-24 12:00:00+00:00,0.9904138253797647,0.9538726351876918,75610.80352325,-0.05246596,61.00000000000001,78192.98240212,3.4150924980925486
2026-04-22 00:00:00+00:00,2026-04-24 12:00:00+00:00,0.14001373730568933,0.10217356601982008,76292.68223645,-0.0552362,60.0,78192.98240212,2.4908026693575986
2026-04-22 01:00:00+00:00,2026-04-24 12:00:00+00:00,0.04807775858590492,0.017966462232134585,76290.53010959,-0.04470089,59.0,78192.98240212,2.4936938959490225
2026-04-22 02:00:00+00:00,2026-04-24 12:00:00+00:00,1.7806333550298032,1.750862900765069,76273.88987343,-0.04495696,58.0,78192.98240212,2.5160543560510313
