strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,gross_pnl,cost,pnl
q5_straddle_mom3,2026-05-20,2026-05-20 11:00:14,23500,CE,247.5,237.5,270.0,0.04999999999998295,23553.35,1,1.75,2026-05-20 11:30:14,270.0,TP,1462.5,86.09,1376.41
q5_straddle_mom3,2026-05-20,2026-05-20 11:35:14,23550,CE,238.2,228.2,260.7,0.04999999999998295,23594.5,1,2.75,2026-05-20 11:50:14,260.7,TP,1462.5,84.73,1377.77
q5_straddle_mom3,2026-05-20,2026-05-20 12:00:15,23550,CE,253.35,243.35,275.85,0.04999999999998295,23612.9,1,2.9500000000000455,2026-05-20 12:05:14,243.35,SL,-650.0,83.51,-733.51
q5_pcr_mom3,2026-05-20,2026-05-20 12:05:14,23550,CE,237.4,227.4,259.9,0.05138991087071798,23592.1,1,0.14035603772761807,2026-05-20 13:25:14,227.4,SL,-650.0,81.18,-731.18
q5_straddle_mom3,2026-05-20,2026-05-20 13:30:14,23500,CE,242.0,232.0,264.5,0.04999999999998295,23566.8,1,0.1999999999999318,2026-05-20 13:40:14,264.5,TP,1462.5,85.28,1377.22
q5_pcr_mom3,2026-05-20,2026-05-20 14:35:14,23600,CE,238.55,228.55,261.05,0.05138991087071798,23663.75,1,0.061407531386872716,2026-05-20 15:20:14,226.5,EOD,-783.25,81.13,-864.38
q5_straddle_level,2026-05-21,2026-05-21 09:10:21,23800,CE,138.15,128.15,160.65,376.9,23830.05,1,424.55,2026-05-21 09:15:20,160.65,TP,1462.5,70.09,1392.41
q5_pcr_mom3,2026-05-21,2026-05-21 09:25:20,23700,CE,220.8,210.8,243.3,0.049728093359135306,23773.45,1,0.12014509570337639,2026-05-21 09:35:20,210.8,SL,-650.0,78.75,-728.75
q5_straddle_mom3,2026-05-21,2026-05-21 09:35:20,23700,CE,205.95,195.95,228.45,-0.5000000000000568,23737.6,1,5.100000000000023,2026-05-21 09:55:20,228.45,TP,1462.5,80.01,1382.49
q5_pcr_mom3,2026-05-21,2026-05-21 10:00:20,23750,CE,185.6,175.6,208.1,0.049728093359135306,23775.45,1,0.06003198638477347,2026-05-21 10:35:20,175.6,SL,-650.0,73.6,-723.6
q5_straddle_mom3,2026-05-21,2026-05-21 10:10:20,23700,CE,210.2,200.2,232.7,-0.5000000000000568,23766.2,1,2.6000000000000227,2026-05-21 10:40:20,200.2,SL,-650.0,77.2,-727.2
q5_straddle_mom3,2026-05-21,2026-05-21 10:40:20,23700,CE,187.8,177.8,210.3,-0.5000000000000568,23737.95,1,2.0500000000000114,2026-05-21 11:00:20,177.8,SL,-650.0,73.92,-723.92
q5_straddle_mom3,2026-05-21,2026-05-21 11:00:20,23650,CE,204.2,194.2,226.7,-0.5000000000000568,23717.9,1,5.5,2026-05-21 11:15:20,194.2,SL,-650.0,76.32,-726.32
q5_pcr_mom3,2026-05-21,2026-05-21 12:00:20,23650,CE,201.15,191.15,223.65,0.049728093359135306,23719.5,1,0.09164166628753367,2026-05-21 12:15:20,191.15,SL,-650.0,75.87,-725.87
q5_pcr_mom3,2026-05-22,2026-05-22 09:30:14,23700,CE,184.4,174.4,206.9,0.03614953558699785,23738.45,1,0.08235313533806454,2026-05-22 10:10:14,206.9,TP,1462.5,76.86,1385.64
q5_straddle_mom3,2026-05-22,2026-05-22 11:00:14,23750,CE,172.25,162.25,194.75,0.04999999999998295,23778.8,1,0.3499999999999659,2026-05-22 11:20:14,162.25,SL,-650.0,71.64,-721.64
q5_pcr_mom3,2026-05-22,2026-05-22 10:20:14,23700,CE,195.5,185.5,218.0,0.03614953558699785,23765.1,1,0.06864446990631645,2026-05-22 11:30:14,185.5,SL,-650.0,75.05,-725.05
q5_straddle_mom3,2026-05-22,2026-05-22 11:40:14,23700,CE,193.5,183.5,216.0,0.04999999999998295,23772.5,1,1.849999999999966,2026-05-22 11:45:14,216.0,TP,1462.5,78.19,1384.31
q5_straddle_mom3,2026-05-22,2026-05-22 11:55:14,23750,CE,185.9,175.9,208.4,0.04999999999998295,23804.55,1,0.44999999999998863,2026-05-22 12:20:14,175.9,SL,-650.0,73.64,-723.64
q5_straddle_mom3,2026-05-22,2026-05-22 12:25:14,23700,CE,190.3,180.3,212.8,0.04999999999998295,23773.0,1,4.649999999999977,2026-05-22 12:50:14,212.8,TP,1462.5,77.72,1384.78
q5_pcr_mom3,2026-05-22,2026-05-22 13:15:14,23750,CE,183.1,173.1,205.6,0.03614953558699785,23818.55,1,0.10971559810197484,2026-05-22 13:55:14,173.1,SL,-650.0,73.23,-723.23
q5_pcr_mom3,2026-05-22,2026-05-22 14:05:14,23700,CE,165.7,155.7,188.2,0.03614953558699785,23747.0,1,0.10627364173062626,2026-05-22 14:40:14,155.7,SL,-650.0,70.69,-720.69
