strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,pnl
q5_pcr_mom3,2026-05-18,2026-05-18 10:50:05,23400,CE,122.45,112.45,152.45,0.03980038810291653,23411.25,1,0.1972790028475686,2026-05-18 11:00:05,152.45,TP,1950.0
q5_straddle_mom3,2026-05-18,2026-05-18 11:05:05,23450,CE,119.0,109.0,149.0,-0.29999999999999716,23456.55,1,1.1999999999999886,2026-05-18 11:25:05,149.0,TP,1950.0
q5_straddle_mom3,2026-05-18,2026-05-18 11:25:05,23500,CE,134.9,124.9,164.9,-0.29999999999999716,23519.05,1,12.400000000000006,2026-05-18 11:30:05,124.9,SL,-650.0
q5_straddle_mom3,2026-05-18,2026-05-18 11:30:05,23500,CE,114.65,104.65,144.65,-0.29999999999999716,23495.25,1,3.5,2026-05-18 11:40:05,144.65,TP,1950.0
q5_pcr_mom3,2026-05-18,2026-05-18 11:45:05,23550,CE,118.9,108.9,148.9,0.03980038810291653,23535.15,1,0.06711807004602521,2026-05-18 11:50:05,108.9,SL,-650.0
q5_pcr_mom3,2026-05-19,2026-05-19 09:30:10,23750,CE,68.8,58.8,98.8,0.04798586982470576,23761.55,1,0.09400398110401653,2026-05-19 09:35:09,58.8,SL,-650.0
q5_straddle_mom3,2026-05-19,2026-05-19 09:35:09,23700,CE,56.8,46.8,86.8,0.04999999999998295,23680.15,1,4.0,2026-05-19 09:45:09,86.8,TP,1950.0
q5_pcr_mom3,2026-05-19,2026-05-19 09:55:10,23700,CE,57.4,47.4,87.4,0.04798586982470576,23692.55,1,0.1018506616626863,2026-05-19 10:15:09,87.4,TP,1950.0
q5_pcr_mom3,2026-05-19,2026-05-19 10:15:09,23750,CE,60.15,50.15,90.15,0.04798586982470576,23755.55,1,0.08178009476337433,2026-05-19 10:20:09,50.15,SL,-650.0
q5_pcr_mom3,2026-05-19,2026-05-19 10:20:09,23750,CE,44.9,34.9,74.9,0.04798586982470576,23728.5,1,0.13442467936605884,2026-05-19 11:15:09,34.9,SL,-650.0
q5_straddle_mom3,2026-05-19,2026-05-19 11:15:09,23700,CE,58.3,48.3,88.3,0.04999999999998295,23717.25,1,6.199999999999989,2026-05-19 13:05:09,48.3,SL,-650.0
q5_straddle_mom3,2026-05-19,2026-05-19 14:45:09,23650,CE,15.75,5.75,45.75,0.04999999999998295,23656.15,1,1.0499999999999972,2026-05-19 15:05:09,5.75,SL,-650.0
q5_straddle_level,2026-05-20,2026-05-20 09:10:16,23450,CE,307.5,297.5,337.5,379.35,23457.25,1,464.5,2026-05-20 09:15:14,297.5,SL,-650.0
q5_straddle_level,2026-05-20,2026-05-20 09:15:14,23450,CE,200.65,190.65,230.65,379.35,23429.7,1,438.75,2026-05-20 09:30:14,230.65,TP,1950.0
q5_straddle_level,2026-05-20,2026-05-20 09:30:14,23500,CE,206.2,196.2,236.2,379.35,23476.6,1,451.95,2026-05-20 09:40:14,236.2,TP,1950.0
q5_straddle_level,2026-05-20,2026-05-20 09:40:14,23550,CE,212.05,202.05,242.05,379.35,23533.45,1,455.05,2026-05-20 10:05:14,202.05,SL,-650.0
q5_straddle_mom3,2026-05-20,2026-05-20 09:45:14,23500,CE,231.1,221.1,261.1,0.04999999999998295,23518.65,1,5.699999999999989,2026-05-20 10:05:14,221.1,SL,-650.0
q5_straddle_mom3,2026-05-20,2026-05-20 10:35:14,23550,CE,230.65,220.65,260.65,0.04999999999998295,23563.7,1,2.1000000000000227,2026-05-20 10:45:14,220.65,SL,-650.0
q5_pcr_mom3,2026-05-20,2026-05-20 10:45:14,23550,CE,207.35,197.35,237.35,0.05138991087071798,23531.85,1,0.06389510080572491,2026-05-20 10:50:14,197.35,SL,-650.0
q5_pcr_mom3,2026-05-20,2026-05-20 10:50:14,23500,CE,219.3,209.3,249.3,0.05138991087071798,23510.1,1,0.15428212162520927,2026-05-20 11:05:14,249.3,TP,1950.0
q5_straddle_mom3,2026-05-20,2026-05-20 11:00:14,23550,CE,220.85,210.85,250.85,0.04999999999998295,23553.35,1,1.75,2026-05-20 11:50:14,250.85,TP,1950.0
q5_straddle_mom3,2026-05-20,2026-05-20 11:50:14,23650,CE,212.1,202.1,242.1,0.04999999999998295,23635.35,1,3.8999999999999773,2026-05-20 12:00:15,202.1,SL,-650.0
q5_pcr_mom3,2026-05-20,2026-05-20 12:00:15,23600,CE,225.1,215.1,255.1,0.05138991087071798,23612.9,1,0.05997987155943818,2026-05-20 12:05:14,215.1,SL,-650.0
q5_pcr_mom3,2026-05-20,2026-05-20 12:05:14,23600,CE,210.45,200.45,240.45,0.05138991087071798,23592.1,1,0.14035603772761807,2026-05-20 13:25:14,200.45,SL,-650.0
q5_straddle_level,2026-05-21,2026-05-21 09:10:21,23850,CE,118.25,108.25,148.25,376.9,23830.05,1,424.55,2026-05-21 09:15:20,148.25,TP,1950.0
q5_pcr_mom3,2026-05-21,2026-05-21 09:25:20,23750,CE,192.55,182.55,222.55,0.049728093359135306,23773.45,1,0.12014509570337639,2026-05-21 09:35:20,182.55,SL,-650.0
q5_pcr_mom3,2026-05-21,2026-05-21 10:00:20,23800,CE,159.4,149.4,189.4,0.049728093359135306,23775.45,1,0.06003198638477347,2026-05-21 10:35:20,149.4,SL,-650.0
q5_straddle_mom3,2026-05-21,2026-05-21 09:35:20,23750,CE,178.7,168.7,208.7,-0.5000000000000568,23737.6,1,5.100000000000023,2026-05-21 10:40:20,168.7,SL,-650.0
q5_straddle_mom3,2026-05-21,2026-05-21 10:40:20,23750,CE,161.45,151.45,191.45,-0.5000000000000568,23737.95,1,2.0500000000000114,2026-05-21 11:05:19,151.45,SL,-650.0
q5_pcr_mom3,2026-05-21,2026-05-21 11:00:20,23700,CE,177.5,167.5,207.5,0.049728093359135306,23717.9,1,0.08534533120928156,2026-05-21 11:15:20,167.5,SL,-650.0
q5_straddle_mom3,2026-05-21,2026-05-21 11:15:20,23700,CE,165.6,155.6,195.6,-0.5000000000000568,23692.8,1,1.9499999999999886,2026-05-21 12:30:20,155.6,SL,-650.0
q5_straddle_mom3,2026-05-21,2026-05-21 12:30:20,23650,CE,163.9,153.9,193.9,-0.5000000000000568,23657.9,1,6.300000000000011,2026-05-21 12:40:20,153.9,SL,-650.0
q5_pcr_mom3,2026-05-21,2026-05-21 14:00:20,23650,CE,167.2,157.2,197.2,0.049728093359135306,23659.55,1,0.06607488950147011,2026-05-21 14:10:20,157.2,SL,-650.0
q5_straddle_mom3,2026-05-22,2026-05-22 11:00:14,23800,CE,145.55,135.55,175.55,0.04999999999998295,23778.8,1,0.3499999999999659,2026-05-22 11:20:14,135.55,SL,-650.0
q5_pcr_mom3,2026-05-22,2026-05-22 09:30:14,23750,CE,157.15,147.15,187.15,0.03614953558699785,23738.45,1,0.08235313533806454,2026-05-22 11:50:14,187.15,TP,1950.0
q5_straddle_mom3,2026-05-22,2026-05-22 11:50:14,23800,CE,164.25,154.25,194.25,0.04999999999998295,23809.5,1,4.5,2026-05-22 12:05:14,154.25,SL,-650.0
q5_straddle_mom3,2026-05-22,2026-05-22 12:25:14,23750,CE,161.4,151.4,191.4,0.04999999999998295,23773.0,1,4.649999999999977,2026-05-22 12:50:14,191.4,TP,1950.0
q5_pcr_mom3,2026-05-22,2026-05-22 12:55:14,23850,CE,140.6,130.6,170.6,0.03614953558699785,23829.75,1,0.06157725725993124,2026-05-22 13:15:14,130.6,SL,-650.0
q5_pcr_mom3,2026-05-22,2026-05-22 13:15:14,23800,CE,154.75,144.75,184.75,0.03614953558699785,23818.55,1,0.10971559810197484,2026-05-22 13:55:14,144.75,SL,-650.0
q5_straddle_mom3,2026-05-22,2026-05-22 14:10:14,23800,CE,132.35,122.35,162.35,0.04999999999998295,23776.65,1,0.5,2026-05-22 14:25:14,122.35,SL,-650.0
q5_pcr_mom3,2026-05-22,2026-05-22 14:05:14,23750,CE,139.6,129.6,169.6,0.03614953558699785,23747.0,1,0.10627364173062626,2026-05-22 14:40:14,129.6,SL,-650.0
